Match,Server Name,Receiver Name,Server hand,Receiver hand,Date,Tournament,Best of,Court,Surface,Max_Count,Count 4,Won 4,Prob Won 4,Count 5,Won 5,Prob Won 5,Count 6,Won 6,Prob Won 6
19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Bjorn Borg,L,R,19810704,Wimbledon,5,Deuce,Grass,4,37,26,0.702702703,8,7,0.875,31,22,0.709677419
19810911-M-US_Open-SF-Vitas_Gerulaitis-John_Mcenroe,Vitas Gerulaitis,John Mcenroe,R,L,19810911,US Open,5,Deuce,Hard,6,32,20,0.625,1,1,1,33,23,0.696969697
19810912-M-US_Open-SF-Jimmy_Connors-Bjorn_Borg,Jimmy Connors,Bjorn Borg,L,R,19810912,US Open,5,Deuce,Hard,6,7,3,0.428571429,8,6,0.75,34,18,0.529411765
19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Bjorn Borg,L,R,19810913,US Open,5,Deuce,Hard,6,24,14,0.583333333,5,4,0.8,28,16,0.571428571
19820113-M-Tour_Finals-F-Vitas_Gerulaitis-Ivan_Lendl,Vitas Gerulaitis,Ivan Lendl,R,R,19820113,Tour Finals,5,Deuce,Carpet,6,33,26,0.787878788,4,1,0.25,51,24,0.470588235
19820606-M-Roland_Garros-F-Guillermo_Vilas-Mats_Wilander,Guillermo Vilas,Mats Wilander,L,R,19820606,Roland Garros,5,Deuce,Clay,4,15,6,0.4,10,3,0.3,3,2,0.666666667
19820703-M-Wimbledon-SF-Mark_Edmondson-Jimmy_Connors,Mark Edmondson,Jimmy Connors,R,L,19820703,Wimbledon,5,Deuce,Grass,4,19,11,0.578947368,2,0,0,5,4,0.8
19820704-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,John Mcenroe,Jimmy Connors,L,L,19820704,Wimbledon,5,Deuce,Grass,4,40,29,0.725,2,1,0.5,28,19,0.678571429
19820911-M-US_Open-SF-John_Mcenroe-Ivan_Lendl,John Mcenroe,Ivan Lendl,L,R,19820911,US Open,5,Deuce,Hard,4,25,19,0.76,9,4,0.444444444,21,11,0.523809524
19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,Ivan Lendl,L,R,19820912,US Open,5,Deuce,Hard,6,27,17,0.62962963,,,,31,21,0.677419355
19821213-M-Australian_Open-F-Steve_Denton-Johan_Kriek,Steve Denton,Johan Kriek,R,R,19821213,Australian Open,5,Deuce,Grass,5,16,10,0.625,17,7,0.411764706,7,4,0.571428571
19830123-M-Tour_Finals-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Ivan Lendl,L,R,19830123,Tour Finals,5,Deuce,Carpet,4,17,9,0.529411765,16,10,0.625,16,7,0.4375
19830603-M-Roland_Garros-SF-Mats_Wilander-Jose_Higueras,Mats Wilander,Jose Higueras,R,R,19830603,Roland Garros,5,Deuce,Clay,4,32,17,0.53125,14,10,0.714285714,14,9,0.642857143
19830603-M-Roland_Garros-SF-Yannick_Noah-Christophe_Roger_Vasselin,Yannick Noah,Christophe Roger Vasselin,R,R,19830603,Roland Garros,5,Deuce,Clay,6,14,10,0.714285714,1,1,1,21,12,0.571428571
19830605-M-Roland_Garros-F-Mats_Wilander-Yannick_Noah,Mats Wilander,Yannick Noah,R,R,19830605,Roland Garros,5,Deuce,Clay,5,23,13,0.565217391,25,10,0.4,9,7,0.777777778
